script,region,img_size,threads,mean,ci
mandelbrot_pth,seahorse,512,16,0.109250671,0.00031825705690828295
mandelbrot_pth,seahorse,512,32,0.108640537,0.0001212049844211313
mandelbrot_pth,seahorse,1024,1,1.283197251,0.0007158005064752834
mandelbrot_pth,seahorse,1024,2,0.746784745,0.0012960135449781405
mandelbrot_pth,seahorse,1024,4,0.478408176,0.0005040847812039132
mandelbrot_pth,seahorse,1024,8,0.437156297,0.0016799041362045163
mandelbrot_pth,seahorse,1024,16,0.429632173,0.0007988663389872877
mandelbrot_pth,seahorse,1024,32,0.427847489,0.0006629565526476799
mandelbrot_pth,seahorse,2048,1,5.126432058,0.002224176855868341
mandelbrot_pth,seahorse,2048,2,2.961567487,0.001284918982081936
mandelbrot_pth,seahorse,2048,4,1.925012013,0.009067824532562128
mandelbrot_pth,seahorse,2048,8,1.73938781,0.004527951682508987
mandelbrot_pth,seahorse,2048,16,1.714528254,0.002975491740169012
mandelbrot_pth,seahorse,2048,32,1.700480482,0.002424128061053255
mandelbrot_pth,seahorse,4096,1,20.530955029,0.022905391975749277
mandelbrot_pth,seahorse,4096,2,11.834540924,0.002200537337680042
mandelbrot_pth,seahorse,4096,4,7.547709075,0.006081554116938608
mandelbrot_pth,seahorse,4096,8,6.886986372,0.008537196754823392
mandelbrot_pth,seahorse,4096,16,6.824596937,0.00845985800994323
mandelbrot_pth,seahorse,4096,32,6.788004694,0.0021036244488935206
mandelbrot_pth,seahorse,8192,1,81.957500016,0.025398892395616945
mandelbrot_pth,seahorse,8192,2,47.300141719,0.00586338631404705
mandelbrot_pth,seahorse,8192,4,30.210147512,0.03744888683833487
mandelbrot_pth,seahorse,8192,8,27.579927268,0.035897853646742556
mandelbrot_pth,seahorse,8192,16,27.166734777,0.008419058331532597
mandelbrot_pth,seahorse,8192,32,27.210584172,0.07083423815857363
mandelbrot_omp,seahorse,16,1,0.000960128,1.2913528944775085e-5
mandelbrot_omp,seahorse,16,2,0.000898334,1.208241204409785e-5
mandelbrot_omp,seahorse,16,4,0.002955213,0.00047549893443826676
mandelbrot_omp,seahorse,16,8,0.001093613,5.307396058164717e-5
mandelbrot_omp,seahorse,16,16,0.001182967,1.3711037152155496e-5
mandelbrot_omp,seahorse,16,32,0.001587159,1.4559223831581104e-5
mandelbrot_omp,seahorse,32,1,0.001972011,2.310081002820932e-5
mandelbrot_omp,seahorse,32,2,0.001468149,1.1920583128678466e-5
mandelbrot_omp,seahorse,32,4,0.003674528,0.0006481753758266948
mandelbrot_omp,seahorse,32,8,0.001405371,2.099249708277207e-5
mandelbrot_omp,seahorse,32,16,0.002024615,7.93077446800311e-5
mandelbrot_omp,seahorse,32,32,0.002112348,1.754390785186332e-5
mandelbrot_omp,seahorse,64,1,0.005910244,5.4581787029672e-5
mandelbrot_omp,seahorse,64,2,0.003875138,3.939010082541819e-5
mandelbrot_omp,seahorse,64,4,0.005595645,0.0006794236520855031
mandelbrot_omp,seahorse,64,8,0.00312169,7.487844374405503e-5
mandelbrot_omp,seahorse,64,16,0.00335702,7.781827547265316e-5
mandelbrot_omp,seahorse,64,32,0.003615639,7.440107615201392e-5
mandelbrot_omp,seahorse,128,1,0.021124628,7.070317245326745e-5
